age,education_background,favorite_subject,technical_skills,communication_skills,problem_solving_skills,creativity_level,interest_in_research,preferred_work_style,logical_reasoning_score,chosen_career_path
26,Science,Chemistry,Python,4,5,3,4,Team,8,Data Scientist
27,Arts,Literature,JavaScript,5,4,3,5,Leadership,9,UX Designer
28,Commerce,Economics,C#,4,5,3,3,Solo,8,Accountant
29,Science,Physics,Java,3,4,5,4,Team,7,Software Engineer
30,Arts,History,Rust,4,3,4,5,Solo,6,Lawyer
31,Commerce,Marketing,HTML/CSS,5,4,3,2,Leadership,8,Accountant
32,Science,Biology,Kotlin,4,5,4,3,Leadership,9,Data Scientist
27,Arts,Art History,C++,3,4,5,4,Team,8,UX Designer
28,Commerce,Accounting,Go,4,5,4,3,Solo,7,Accountant
29,Science,Environmental,Swift,5,3,4,5,Team,9,Software Engineer
30,Arts,Sociology,JavaScript,3,5,3,2,Solo,6,Lawyer
32,Commerce,Marketing,TypeScript,4,3,5,4,Leadership,9,Accountant
31,Science,Physics,SQL,4,5,3,3,Team,8,Data Scientist
33,Arts,Philosophy,Ruby,5,4,4,3,Leadership,9,UX Designer
34,Commerce,Finance,Python,3,5,4,4,Solo,7,Accountant
36,Science,Biology,Go,4,3,5,3,Leadership,8,Software Engineer
35,Arts,History,Kotlin,4,4,3,2,Team,9,Lawyer
37,Commerce,Business,Java,3,4,5,3,Leadership,8,Accountant
38,Science,Chemistry,TypeScript,5,3,4,3,Solo,7,Data Scientist
39,Arts,Sociology,C++,4,5,3,4,Leadership,8,UX Designer
40,Commerce,Marketing,JavaScript,4,5,4,5,Team,7,Accountant
41,Science,Environmental,MATLAB,3,4,5,4,Leadership,9,Software Engineer
42,Arts,Literature,Python,4,5,4,3,Solo,8,Lawyer
43,Commerce,Economics,Go,5,4,3,4,Team,7,Accountant
44,Science,Biology,SQL,3,5,3,2,Leadership,6,Data Scientist
45,Arts,Music,C#,4,3,5,3,Team,8,UX Designer
46,Commerce,Marketing,Ruby,3,4,5,3,Leadership,9,Accountant
47,Science,Chemistry,Swift,5,4,3,2,Team,7,Software Engineer
48,Arts,Art History,Python,4,5,3,3,Leadership,8,Lawyer
49,Commerce,Accounting,Java,3,4,5,4,Team,9,Accountant
50,Science,Physics,TypeScript,4,5,3,2,Solo,8,Data Scientist
26,Science,Biology,Ruby,3,5,4,4,Leadership,8,Data Scientist
27,Commerce,Marketing,Java,4,4,5,3,Team,9,Accountant
28,Arts,History,Swift,5,3,4,3,Solo,7,UX Designer
29,Science,Physics,JavaScript,4,4,5,4,Leadership,9,Software Engineer
30,Commerce,Economics,C#,3,4,5,2,Team,8,Accountant
31,Arts,Music,Python,4,5,3,5,Leadership,6,UX Designer
32,Science,Environmental,TypeScript,4,5,4,3,Solo,7,Data Scientist
33,Commerce,Business,Kotlin,4,3,5,2,Team,9,Accountant
34,Science,Chemistry,Go,5,4,3,4,Leadership,8,Software Engineer
35,Arts,Philosophy,Ruby,4,3,5,5,Solo,7,Lawyer
36,Commerce,Finance,JavaScript,3,5,4,3,Team,9,Accountant
37,Science,Biology,Swift,4,5,3,4,Leadership,6,Data Scientist
38,Arts,Literature,Python,5,4,5,3,Team,8,UX Designer
39,Commerce,Marketing,C#,4,4,3,2,Solo,9,Accountant
40,Science,Physics,TypeScript,3,5,4,5,Leadership,7,Software Engineer
41,Arts,Art History,Java,4,4,3,4,Team,8,Lawyer
42,Commerce,Accounting,SQL,5,3,5,3,Leadership,6,Accountant
43,Science,Environmental,Ruby,4,5,3,4,Solo,8,Data Scientist
44,Arts,Sociology,Kotlin,3,4,5,4,Leadership,7,UX Designer
45,Commerce,Business,Go,4,4,5,3,Team,8,Accountant
46,Science,Math,C#,4,5,3,2,Solo,9,Software Engineer
47,Arts,Sociology,Python,3,5,4,3,Leadership,6,Lawyer
48,Commerce,Marketing,JavaScript,4,3,5,2,Team,9,Accountant
49,Science,Chemistry,MATLAB,4,5,3,4,Solo,7,Data Scientist
50,Arts,Philosophy,Swift,5,3,4,5,Leadership,8,UX Designer
51,Commerce,Economics,Ruby,3,4,5,3,Solo,6,Accountant
52,Science,Biology,Java,4,5,3,4,Leadership,9,Software Engineer
53,Arts,Music,Go,4,3,5,2,Leadership,8,UX Designer
54,Commerce,Marketing,Python,3,5,4,3,Team,7,Accountant
55,Science,Physics,JavaScript,5,4,3,5,Solo,8,Data Scientist
26,Science,Environmental,JavaScript,4,4,3,5,Team,7,Data Scientist
27,Arts,History,Kotlin,5,3,4,3,Leadership,8,UX Designer
28,Commerce,Marketing,Ruby,3,5,4,2,Team,9,Accountant
29,Science,Math,C#,4,5,3,4,Leadership,8,Software Engineer
30,Arts,Sociology,Python,3,4,5,4,Solo,7,Lawyer
31,Commerce,Economics,TypeScript,5,4,3,5,Leadership,6,Data Scientist
32,Arts,Literature,Java,4,3,5,3,Team,8,UX Designer
33,Science,Physics,Go,4,4,3,5,Leadership,7,Software Engineer
34,Commerce,Business,Kotlin,3,5,4,3,Solo,8,Accountant
35,Arts,Music,Ruby,5,3,5,2,Team,9,UX Designer
36,Science,Chemistry,JavaScript,4,4,3,3,Leadership,8,Data Scientist
37,Commerce,Accounting,Swift,4,5,3,4,Solo,7,Accountant
38,Arts,Art History,Python,3,4,5,4,Team,6,Lawyer
39,Science,Biology,Go,5,3,4,5,Leadership,8,Data Scientist
40,Commerce,Finance,Ruby,4,5,3,3,Solo,7,Accountant
41,Arts,Philosophy,Kotlin,3,5,4,4,Leadership,9,UX Designer
42,Science,Environmental,C#,4,4,3,2,Team,8,Software Engineer
43,Commerce,Marketing,JavaScript,4,5,3,3,Leadership,7,Accountant
44,Arts,Sociology,Python,5,3,4,4,Solo,6,UX Designer
45,Science,Chemistry,Kotlin,4,5,3,5,Leadership,8,Data Scientist
46,Commerce,Accounting,TypeScript,3,4,5,4,Team,7,Accountant
47,Arts,Literature,C#,4,3,5,3,Leadership,8,Lawyer
48,Science,Math,Java,3,5,4,2,Team,9,Software Engineer
49,Commerce,Finance,Go,4,5,3,4,Solo,7,Accountant
50,Arts,Philosophy,Ruby,5,3,5,3,Team,8,UX Designer
51,Science,Physics,Swift,3,4,4,2,Leadership,9,Data Scientist
52,Arts,Music,JavaScript,5,4,3,4,Team,7,UX Designer
53,Commerce,Business,Python,3,5,4,3,Leadership,8,Accountant
54,Science,Biology,Ruby,4,3,5,4,Team,6,Software Engineer
55,Commerce,Marketing,Java,3,4,5,2,Leadership,9,Accountant
